Application,Tool,Partition Count,Variant,Granularity,Database Entropy,Use Case Entropy,M2M Use Case Entropy,Sarah BCP
demo,mem,4,3600_100_10_LC_final,method_level,45.642062680683296,46.291347675363916,55.11421365733425,55.11421365733425
demo,mem,4,3600_100_10_LC_final,class_level,23.013961458004108,35.330382311798814,55.11421365733425,55.11421365733425
jpetstore,mem,4,3600_100_10_LC_final,method_level,55.63986405363954,28.166793812482727,0.0,26.150682305105565
jpetstore,mem,4,3600_100_10_LC_final,class_level,54.26212973154642,0.0,0.0,26.150682305105565
partsunlimited,mem,4,3600_100_10_LC_final,method_level,100.0,69.44398321083281,0.0,1.6576486922255107
partsunlimited,mem,4,3600_100_10_LC_final,class_level,100.0,59.54382941170593,0.0,1.6576486922255107
spring-petclinic,mem,4,3600_100_10_LC_final,method_level,46.48695887813419,0.0,42.85714285714286,45.04550884667766
spring-petclinic,mem,4,3600_100_10_LC_final,class_level,43.34034975500612,1.243236519169133,42.85714285714286,45.04550884667766
demo,mem,4,3600_100_10_TS_final,method_level,9.024203508745575,0.0,50.26356997846364,55.56565556092432
demo,mem,4,3600_100_10_TS_final,class_level,0.0,0.0,50.26356997846364,55.56565556092432
jpetstore,mem,4,3600_100_10_TS_final,method_level,20.4951296608168,12.320225216247715,23.05293769828728,35.86451124805229
jpetstore,mem,4,3600_100_10_TS_final,class_level,19.315573107298167,0.0,23.05293769828728,35.86451124805229
partsunlimited,mem,4,3600_100_10_TS_final,method_level,8.140933651050519,0.0,11.111111111111116,11.39650274589612
partsunlimited,mem,4,3600_100_10_TS_final,class_level,8.753297107623826,0.0,11.111111111111116,11.39650274589612
spring-petclinic,mem,4,3600_100_10_TS_final,method_level,47.673292444397944,25.0,19.999999999999996,19.999999999999996
spring-petclinic,mem,4,3600_100_10_TS_final,class_level,44.30142792897237,27.486473038338268,19.999999999999996,19.999999999999996
jpetstore,tomicroservices_p1,4,best_tradeoff,method_level,19.505644185754033,0.0,0.0,16.752673241012637
spring-petclinic,tomicroservices_p1,4,best_tradeoff,method_level,14.28571428571429,0.0,0.0,0.0
jpetstore,tomicroservices_p2,8,best_tradeoff,method_level,10.700369083544592,0.0,11.506980729002048,27.82545205804876
spring-petclinic,tomicroservices_p2,12,best_tradeoff,method_level,14.996135153810929,0.0,16.004653819334703,16.891007761267186
jpetstore,tomicroservices_p3,5,best_tradeoff,method_level,41.28683443318542,28.811045564006875,40.0,55.02228081126634
spring-petclinic,tomicroservices_p3,5,best_tradeoff,method_level,59.30449203247976,3.7828610568395704,0.0,1.9855127526252403
demo,mono2micro,4,business,method_level,85.94162138452978,65.7266601732747,80.0,82.98615888662395
demo,mono2micro,4,business,class_level,84.08714579262968,60.37052362689393,80.0,82.98615888662395
jpetstore,mono2micro,3,business,method_level,61.92532294828137,33.619392884985736,10.228427314668487,33.62179319806336
jpetstore,mono2micro,3,business,class_level,57.009307638669405,16.53075344079088,10.228427314668487,33.62179319806336
partsunlimited,mono2micro,5,business,method_level,33.89542014258371,24.776108650607686,40.0,40.66491014274962
partsunlimited,mono2micro,5,business,class_level,32.950602434610765,19.451246082654873,40.0,40.66491014274962
spring-petclinic,mono2micro,3,business,method_level,66.57925706219007,34.74387711053375,33.333333333333336,33.333333333333336
spring-petclinic,mono2micro,3,business,class_level,64.93811945582321,28.547439616787585,33.333333333333336,33.333333333333336
demo,tomicroservices,4,cohesion,method_level,68.82310029355729,56.383795967334414,46.13705638880109,60.24272089013583
jpetstore,tomicroservices,3,cohesion,method_level,91.59678410938612,83.93797501584197,23.013961458004097,42.20387654703943
partsunlimited,tomicroservices,5,cohesion,method_level,39.53782399710053,72.99277520981258,38.41116916640328,46.53170823032191
spring-petclinic,tomicroservices,3,cohesion,method_level,59.355991261864474,43.964749101869614,33.333333333333336,33.333333333333336
jpetstore,tomicroservices_p1,4,cohesion,method_level,19.505644185754033,0.0,0.0,16.752673241012637
spring-petclinic,tomicroservices_p1,4,cohesion,method_level,14.28571428571429,0.0,0.0,0.0
jpetstore,tomicroservices_p2,10,cohesion,method_level,8.14326225487747,0.0,15.34264097200273,29.455169295221996
spring-petclinic,tomicroservices_p2,12,cohesion,method_level,14.28571428571429,0.0,12.785534143335608,16.16537961825787
jpetstore,tomicroservices_p3,5,cohesion,method_level,11.586723025477086,0.0,0.0,16.735351767166673
spring-petclinic,tomicroservices_p3,5,cohesion,method_level,59.30449203247976,3.7828610568395704,0.0,1.9855127526252403
demo,tomicroservices,4,coupling,method_level,30.86590082910854,71.97493968949527,66.1370563888011,70.98877582267392
jpetstore,tomicroservices,3,coupling,method_level,59.737262459570715,95.0904559338328,57.67132048600136,61.189404571933494
partsunlimited,tomicroservices,5,coupling,method_level,4.319437719581353,83.20831847711649,80.0,80.0
spring-petclinic,tomicroservices,3,coupling,method_level,72.98876928927778,55.458421962798354,33.333333333333336,33.333333333333336
jpetstore,tomicroservices_p1,4,coupling,method_level,19.505644185754033,0.0,0.0,16.752673241012637
spring-petclinic,tomicroservices_p1,4,coupling,method_level,14.28571428571429,0.0,0.0,0.0
jpetstore,tomicroservices_p2,8,coupling,method_level,8.14326225487747,0.0,24.00698072900205,41.97776257290503
spring-petclinic,tomicroservices_p2,8,coupling,method_level,21.248490230685103,0.0,32.67132048600136,32.67132048600136
jpetstore,tomicroservices_p3,5,coupling,method_level,41.28683443318542,47.46150873847482,40.0,64.12112119961144
spring-petclinic,tomicroservices_p3,5,coupling,method_level,59.30449203247976,3.7828610568395704,0.0,1.9855127526252403
demo,cargo,4,default,method_level,82.69980088339605,60.09959372952869,26.137056388801096,29.862653575968924
jpetstore,cargo,3,default,method_level,83.40646177489384,52.00168693350975,32.67132048600136,43.994142779385925
partsunlimited,cargo,5,default,method_level,58.77365452885732,26.54902262457458,5.114213657334243,6.058097195086454
spring-petclinic,cargo,3,default,method_level,100.0,100.0,0.0,0.0
demo,datacentric,n,default,method_level,35.20044759411307,58.328175231420666,66.1370563888011,77.21878403090517
demo,datacentric,n,default,class_level,43.906682037456726,51.389236578592815,66.1370563888011,77.21878403090517
jpetstore,datacentric,n,default,method_level,90.46909675478125,53.83210122166402,33.333333333333336,49.80820457505749
jpetstore,datacentric,n,default,class_level,79.719744537125,30.430820761296083,33.333333333333336,49.80820457505749
partsunlimited,datacentric,n,default,method_level,85.11469291531881,20.397704354528113,0.0,1.5165084848775767
partsunlimited,datacentric,n,default,class_level,75.29306376743871,8.034608228294859,0.0,1.5165084848775767
spring-petclinic,datacentric,n,default,method_level,84.68424973287647,39.46715980251893,10.228427314668487,12.971189931503558
spring-petclinic,datacentric,n,default,class_level,77.0904868230494,30.86760347906008,10.228427314668487,12.971189931503558
demo,ground_truth,n,default,method_level,37.540546445462866,77.92196796146094,7.671320486001365,53.28903408883785
demo,ground_truth,n,default,class_level,57.56486946571393,93.87674933013412,7.671320486001365,53.28903408883785
jpetstore,ground_truth,n,default,method_level,96.24532325944746,59.79359831222559,43.56176064800182,50.45627508749595
jpetstore,ground_truth,n,default,class_level,85.02402927291509,45.44952772350624,43.56176064800182,50.45627508749595
partsunlimited,ground_truth,n,default,method_level,81.75580996063535,24.157621175762145,21.780880324000908,29.70692507510755
partsunlimited,ground_truth,n,default,class_level,57.50659421524767,12.683675811981132,21.780880324000908,29.70692507510755
spring-petclinic,ground_truth,n,default,method_level,73.01936141696484,65.28497767833416,32.67132048600136,48.90689976371235
spring-petclinic,ground_truth,n,default,class_level,70.65389812495933,65.37109829674742,32.67132048600136,48.90689976371235
demo,hydec,n,default,method_level,0.0,38.219583271533565,55.11421365733425,68.75819649114565
demo,hydec,n,default,class_level,8.403128283618145,37.15783117276407,55.11421365733425,68.75819649114565
jpetstore,hydec,n,default,method_level,63.29177730017166,19.243030406466964,46.97123641955798,51.46291536168359
jpetstore,hydec,n,default,class_level,59.087145792629684,10.228427314668487,46.97123641955798,51.46291536168359
partsunlimited,hydec,n,default,method_level,86.19628647962392,73.13830971550023,0.0,10.823476726117953
partsunlimited,hydec,n,default,class_level,87.26971663410374,37.037911970442636,0.0,10.823476726117953
spring-petclinic,hydec,n,default,method_level,51.07990611102365,42.758305883621205,32.67132048600136,36.33524995655267
spring-petclinic,hydec,n,default,class_level,47.240754563429356,40.414857434529985,32.67132048600136,36.33524995655267
jpetstore,log2ms,n,default,method_level,96.24532325944746,56.759029626804306,43.56176064800182,48.871106165897
jpetstore,log2ms,n,default,class_level,85.02402927291509,43.56176064800182,43.56176064800182,48.871106165897
spring-petclinic,log2ms,n,default,method_level,66.27043782406655,3.7828610568395704,6.137056388801088,9.768226711527372
spring-petclinic,log2ms,n,default,class_level,57.14285714285714,3.3109192879634763,6.137056388801088,9.768226711527372
